Text OCR,Text Char
辞了他师父将这两件衣帽拿来做个忆念长老[MASK]你既有徒,辭了他師父將這兩件衣帽拿來做個憶念長老呵你既有徒
弟我把这衣帽送了你罢三藏道承老母盛赐但只是我徒弟,弟我把這衣帽送了你罷三藏道承老母盛賜但只是我徒弟
已走了不敢领受老母道他那厢去了[MASK]三藏道我听得呼,已走了不敢領受老母道他那廂去了三藏道我聽得呼
的一声他回东去了老母道东边不远就是我家想必往我,的一聲他回東去了老母道東邊不遠就是我家想必往我
家去了我那里还有一篇咒儿唤做定心真言又名做紧箍,家去了我那裏還有一篇咒兒喚做定心真言又名做緊箍
儿咒你可暗暗的念熟牢记心头再莫泄漏一人知道我去,兒咒你可暗暗的念熟牢記心頭再莫洩漏一人知道我去
赶上他叫他还来跟你你却将此衣帽与他穿戴他若不服你使,趕上他叫他還來跟你你卻將此衣帽與他穿戴他若不服你使
唤你就默念此咒他再不敢行凶也再不敢去了,喚你就默念此咒他再不敢行兇也再不敢去了
三藏闻言低头拜谢那老母化一道金光回东而去三藏,三藏聞言低頭拜謝那老母化一道金光回東而去三藏
情知是观音菩萨授此真言急忙撮土焚香望东恳恳礼拜拜,情知是觀音菩薩授此真言急忙撮土焚香望東懇懇禮拜拜
罢收了衣帽藏在包袱中间却坐于路[MASK]诵习那定心真言,罷收了衣帽藏在包袱中間卻坐於路傍誦習那定心真言
来回念了几遍念得烂熟牢记心胸不题,來回念了幾遍念得爛熟牢記心胸不題
却说那悟空别了师父一[MASK]斗云径转东洋大海按住云,卻說那悟空別了師父一觔斗雲徑轉東洋大海按住雲
头分开水道径至水晶宫前早惊动龙王出来迎接接至宫里,頭分開水道徑至水晶宮前早驚動龍王出來迎接接至宮裏
坐下礼毕龙王道近闻得大圣难满失贺想必是重整仙,坐下禮畢龍王道近聞得大聖難滿失賀想必是重整仙
山复归古洞矣悟空道我也有此心性只是又做了和尚了,山復歸古洞矣悟空道我也有此心性只是又做了和尚了
龙王道做甚和尚行者道我亏了南海菩萨劝善教我正果,龍王道做甚和尚行者道我虧了南海菩薩勸善教我正果
随东[MASK]唐僧上西方拜佛皈依沙门又唤为行者了龙王道,隨東土唐僧上西方拜佛皈依沙門又喚為行者了龍王道
这等真是可贺可贺这才叫做改邪归正惩创善心既如,這等真是可賀可賀這才叫做改邪歸正懲創善心既如
此怎么不西去复东回何也行者笑道那是唐僧不识人性,此怎麼不西去復東回何也行者笑道那是唐僧不識人性
有几个毛贼剪径是我将他打死唐僧就绪绪叨叨说了我若干,有幾個毛賊剪徑是我將他打死唐僧就緒緒叨叨說了我若干
的不是你想老孙可是受得闷气的是我撇了他欲回本山,的不是你想老孫可是受得悶氣的是我撇了他欲回本山
故此先来望你一望求鍾茶吃龙王道承降承降当时龙,故此先來望你一望求鍾茶吃龍王道承降承降當時龍
子龙孙即捧香茶来献,子龍孫即捧香茶來獻
茶毕行者回头一看见后壁上挂著一幅圯桥进履的画,茶畢行者回頭一看見後壁上掛著一幅圯橋進履的畫
儿行者道这是甚么景致[MASK]龙王道大圣在先此事在后故,兒行者道這是甚麼景致龍王道大聖在先此事在後故
你不认得这叫做圯桥三进履行者道怎的是三进履,你不認得這叫做圯橋三進履行者道怎的是三進履
龙王道此仙乃是黄石公此子乃是汉世张良石公坐在圯桥,龍王道此仙乃是黃石公此子乃是漢世張良石公坐在圯橋
上忽然失履于桥下遂唤张良取来此子即忙取来跪献于前,上忽然失履於橋下遂喚張良取來此子即忙取來跪獻於前
如此三度张良略无一毫倨傲怠慢之心石公遂爱他勤谨夜授,如此三度張良略無一毫倨傲怠慢之心石公遂愛他勤謹夜授
天书[MASK]他扶汉后果然运筹帷幄之中决胜千里之外太平,天書著他扶漢後果然運籌帷幄之中決勝千里之外太平
后弃职归山从赤松子游悟成仙道大圣你若不保唐僧不,後棄職歸山從赤松子遊悟成仙道大聖你若不保唐僧不
尽勤劳不受教诲到底是个妖仙休想得成正果悟空闻言沉,盡勤勞不受教誨到底是個妖仙休想得成正果悟空聞言沉
吟半晌不语龙王道大圣自当裁处不可图自在误了前程,吟半晌不語龍王道大聖自當裁處不可圖自在誤了前程
悟空道莫多话老孙还去保他便了龙王[MASK]喜道既如此不,悟空道莫多話老孫還去保他便了龍王忻喜道既如此不
敢久留请大圣早发慈悲莫要疏久了你师父行者见他催促请,敢久留請大聖早發慈悲莫要疏久了你師父行者見他催促請
行急[MASK]身出离海藏驾[MASK]云别了龙王,行急縱身出離海藏駕著雲別了龍王
正走却遇[MASK]南海菩萨菩萨道孙悟空你怎么不受教,正走卻遇著南海菩薩菩薩道孫悟空你怎麼不受教
诲不保唐僧来此处何干慌得个行者在云端里施礼道向蒙,誨不保唐僧來此處何幹慌得個行者在雲端裏施禮道向蒙
菩萨善言果有唐朝僧到揭了压帖救了我命跟他做了徒弟,菩薩善言果有唐朝僧到揭了壓帖救了我命跟他做了徒弟
他却怪我凶顽我才[MASK]闪[MASK]他一闪如今就去保他也菩萨道,他卻怪我兇頑我才閃他一閃如今就去保他也菩薩道
赶早去莫错过了念头言毕各回,趕早去莫錯過了念頭言畢各回
这行者须臾间看见唐僧在路[MASK]闷坐他上前道师父,這行者須臾間看見唐僧在路傍悶坐他上前道師父
怎么不走路还在此做甚三藏抬头道你往那里去来教我,怎麼不走路還在此做甚三藏抬頭道你往那裏去來教我
行又不敢行动又不敢动只管在此等你行者道我往东洋大,行又不敢行動又不敢動只管在此等你行者道我往東洋大
海老龙王家讨茶吃吃三藏道徒弟[MASK]出家人不要说谎你,海老龍王家討茶吃吃三藏道徒弟呵出家人不要說謊你
离了我没多一个时辰就说到龙王家吃茶行者笑道不瞒师,離了我沒多一個時辰就說到龍王家吃茶行者笑道不瞞師
父说我会驾[MASK]斗云一个[MASK]斗有十万八千里路故此得即去即,父說我會駕觔斗雲一個觔斗有十萬八千里路故此得即去即
来三藏道我略略的言语重了些儿你就怪我使个性子丢了,來三藏道我略略的言語重了些兒你就怪我使個性子丟了
我去像你这有本事的讨得茶吃像我这去不得的只管在此,我去像你這有本事的討得茶吃像我這去不得的只管在此
忍饿你也过意不去呀行者道师父你若饿了我便去与你,忍餓你也過意不去呀行者道師父你若餓了我便去與你
化些斋吃三藏道不用化斋我那包袱里还有些干粮是刘,化些齋吃三藏道不用化齋我那包袱裏還有些乾糧是劉
太保母亲送的你去拿钵盂寻些水来等我吃些儿走路罢,太保母親送的你去拿缽盂尋些水來等我吃些兒走路罷
行者去解开包袱在那包裹中间见有几个粗面烧饼拿出来,行者去解開包袱在那包裹中間見有幾個粗麵燒餅拿出來
递与师父又见那光艳艳的一领绵布直裰一顶嵌金花帽行者,遞與師父又見那光豔豔的一領綿布直裰一頂嵌金花帽行者
道这衣帽是东土带来的三藏就顺口儿答应道是我小时穿,道這衣帽是東土帶來的三藏就順口兒答應道是我小時穿
戴的这帽子若戴了不用教经就会念经这衣服若穿了不用,戴的這帽子若戴了不用教經就會念經這衣服若穿了不用
演礼就会行礼行者道好师父把与我穿戴了罢三藏道,演禮就會行禮行者道好師父把與我穿戴了罷三藏道
只怕长短不一你若穿得就穿了罢行者遂脱下旧白布直裰,只怕長短不一你若穿得就穿了罷行者遂脫下舊白布直裰
将绵布直裰穿上也就是比量[MASK]身体裁的一般把帽儿戴上三,將綿布直裰穿上也就是比量著身體裁的一般把帽兒戴上三
藏见他戴上帽子就不吃干粮却默默的念那紧箍咒一遍行,藏見他戴上帽子就不吃乾糧卻默默的念那緊箍咒一遍行
者叫道头痛头痛那师父不住的又念了几遍把个行者痛,者叫道頭痛頭痛那師父不住的又念了幾遍把個行者痛
得打滚抓破了嵌金的花帽三藏又恐怕扯断金箍住了口不,得打滾抓破了嵌金的花帽三藏又恐怕扯斷金箍住了口不
念不念时他就不痛了伸手去头上摸摸似一条金线儿模,念不念時他就不痛了伸手去頭上摸摸似一條金線兒模
样紧紧的勒在上面取不下揪不断已此生了根了他就耳里,樣緊緊的勒在上面取不下揪不斷已此生了根了他就耳裏
取出针儿来插入箍里往外乱捎三藏又恐怕他捎断了口中,取出針兒來插入箍裏往外亂捎三藏又恐怕他捎斷了口中
又念起来他依旧生痛痛得竖蜻蜓翻[MASK]斗耳红面赤眼胀身,又念起來他依舊生痛痛得豎蜻蜓翻觔斗耳紅面赤眼脹身
麻那师父见他这等又不忍不舍复住了口他的头又不痛了,麻那師父見他這等又不忍不捨復住了口他的頭又不痛了
行者道我这头原来是师父咒我的三藏道我念得是紧箍,行者道我這頭原來是師父咒我的三藏道我念得是緊箍
经何曾咒你行者道你再念念看三藏真个又念行者真,經何曾咒你行者道你再念念看三藏真個又念行者真
个又痛只教莫念莫念念动我就痛了这是怎么说三,個又痛只教莫念莫念念動我就痛了這是怎麼說三
藏道你今番可听我教诲了行者道听教了[MASK]你再可,藏道你今番可聽我教誨了行者道聽教了你再可
无礼了行者道不敢了,無禮了行者道不敢了
他口里虽然答应心上还怀不善把那针儿幌一幌碗来粗,他口裏雖然答應心上還懷不善把那針兒幌一幌碗來粗
细望唐僧就欲下手慌得长老口中又念了两三遍这猴子跌倒,細望唐僧就欲下手慌得長老口中又念了兩三遍這猴子跌倒
在地丢了铁棒不能举手只教师父我晓得了再莫念,在地丟了鐵棒不能舉手只教師父我曉得了再莫念
再莫念三藏道你怎么欺心就敢打我行者道我不曾敢,再莫念三藏道你怎麼欺心就敢打我行者道我不曾敢
打我问师父你这法儿是谁教你的三藏道是适间一个老母,打我問師父你這法兒是誰教你的三藏道是適間一個老母
传授我的行者大怒道不消讲了这个老母坐定是那个观,傳授我的行者大怒道不消講了這個老母坐定是那個觀
世音他怎么那等害我等我上南海打他去三藏道此法既,世音他怎麼那等害我等我上南海打他去三藏道此法既
是他授与我他必然先晓得了你若寻他他念起来你却不是,是他授與我他必然先曉得了你若尋他他念起來你卻不是
死了行者见说得有理真个不敢动身只得回心跪下哀告道,死了行者見說得有理真個不敢動身只得回心跪下哀告道
师父这是他奈何我的法儿教我随你西去我也不去惹他,師父這是他奈何我的法兒教我隨你西去我也不去惹他
你也莫当常言只管念诵我愿保你再无退悔之意了三藏,你也莫當常言只管念誦我願保你再無退悔之意了三藏
道既如此伏侍我上马去也那行者才死心塌地抖擞精神,道既如此伏侍我上馬去也那行者才死心塌地抖擻精神
束一束绵布直裰扣背马匹收拾行李奔西而进毕竟这一去,束一束綿布直裰扣背馬匹收拾行李奔西而進畢竟這一去
后面又有甚话说且听下回分解,後面又有甚話說且聽下回分解
第[MASK]五回,第一五回
蛇盘山诸神暗佑鹰愁涧意马收缰,蛇盤山諸神暗佑鷹愁澗意馬收韁
却说行者伏侍唐僧西进行经数日正是那腊月寒天朔风,卻說行者伏侍唐僧西進行經數日正是那臘月寒天朔風
凛凛滑冻凌凌[MASK]的是些悬崖峭壁崎岖路[MASK]岭层峦险峻山,凜凜滑凍凌凌走的是些懸崖峭壁崎嶇路疊嶺層巒險峻山
三藏在马上遥闻[MASK]喇喇水声聒耳回头叫悟空是那里水,三藏在馬上遙聞喇喇水聲聒耳回頭叫悟空是那裏水
响行者道我记得此处叫做蛇盘山鹰愁涧想必是涧里水,響行者道我記得此處叫做蛇盤山鷹愁澗想必是澗裏水
响说不了马到涧边三藏勒缰观看但见,響說不了馬到澗邊三藏勒韁觀看但見
涓涓寒脉穿云过湛湛清波映日红,涓涓寒脈穿雲過湛湛清波映日紅
声摇夜雨闻幽谷彩发朝霞眩太空,聲搖夜雨聞幽谷彩發朝霞眩太空
千仞浪飞喷碎玉一泓水响吼清风,千仞浪飛噴碎玉一泓水響吼清風
流归万顷烟波去鸥鹭相忘没钓逢,流歸萬頃煙波去鷗鷺相忘沒釣逢
师徒两个正然看处只见那涧当中响一声钻出一条龙来推波,師徒兩個正然看處只見那澗當中響一聲鑽出一條龍來推波
掀浪撺出崖山就抢长老慌得个行者丢了行李把师父抱下,掀浪攛出崖山就搶長老慌得個行者丟了行李把師父抱下
马来回头便走那条龙就赶不上把他的白马连鞍辔一口吞下,馬來回頭便走那條龍就趕不上把他的白馬連鞍轡一口吞下
肚去依然伏水潜踪行[MASK]把师父送在那高阜上坐了却来牵马,肚去依然伏水潛蹤行者把師父送在那高阜上坐了卻來牽馬
挑担止存得一担行李不见了马匹他将行李担送到师父面前,挑擔止存得一擔行李不見了馬匹他將行李擔送到師父面前
道师父那孽龙也不见踪影只是惊走我的马了三藏道徒,道師父那孽龍也不見蹤影只是驚走我的馬了三藏道徒
弟[MASK]却怎生寻得马[MASK]么[MASK]行者道放心放心等我去看来,弟呵卻怎生尋得馬著麼行者道放心放心等我去看來
他打个[MASK]哨跳在空中火眼金睛用手搭凉篷四下里观,他打個哨跳在空中火眼金睛用手搭涼篷四下裏觀
看更不见马的踪迹按落云头报道师父我们的马断乎[MASK],看更不見馬的蹤跡按落雲頭報道師父我們的馬斷乎
那龙吃了四下里再看不见三藏道徒弟呀那厮能有多大,那龍吃了四下裏再看不見三藏道徒弟呀那廝能有多大
口却将那匹大马连鞍辔都吃了想是惊张溜缰走在那山凹之,口卻將那匹大馬連鞍轡都吃了想是驚張溜韁走在那山凹之
中你再仔细看看行者道你也不知我的本事我这双眼,中你再仔細看看行者道你也不知我的本事我這雙眼
白日里常看一千里路的吉凶像那千里之内蜻蜓儿展翅我也,白日裏常看一千里路的吉凶像那千里之內蜻蜓兒展翅我也
看见何期那匹大马我就不见三藏道既是他吃了我如何,看見何期那匹大馬我就不見三藏道既是他吃了我如何
前进可怜[MASK]这[MASK][MASK][MASK][MASK]怎生走得说[MASK]话泪如雨落行,前進可憐呵這千山萬水怎生走得說著話淚如雨落行
者见他哭将起来他那里忍得住暴燥发声喊道师父莫要这等,者見他哭將起來他那裏忍得住暴燥發聲喊道師父莫要這等
脓包形么你坐[MASK]坐[MASK]等老孙去寻[MASK]那厮教他还我马匹,膿包形麼你坐著坐著等老孫去尋著那廝教他還我馬匹
便了三藏却才扯住道徒弟[MASK]你那里去寻他只怕他暗地,便了三藏卻才扯住道徒弟呵你那裏去尋他只怕他暗地
里撺将出来却不又连我都害了那时节人马两亡怎生是好,裏攛將出來卻不又連我都害了那時節人馬兩亡怎生是好
行者闻得这话越加嗔怒就叫喊如雷道你忒不济不济又,行者聞得這話越加嗔怒就叫喊如雷道你忒不濟不濟又
要马骑又不放我去似这般看[MASK]行李坐到老罢,要馬騎又不放我去似這般看著行李坐到老罷
哏哏的吆喝正难息怒只听得空中有人言语叫道孙大,哏哏的吆喝正難息怒只聽得空中有人言語叫道孫大
圣莫恼唐御弟休哭我等是观音菩萨差来的一路神[MASK]特来暗,聖莫惱唐御弟休哭我等是觀音菩薩差來的一路神祗特來暗
中保取经者那长老闻言慌忙礼拜行者道你等是那几个,中保取經者那長老聞言慌忙禮拜行者道你等是那幾個
可报名来我好点卯众神道我等是六丁六甲五方揭谛四,可報名來我好點卯眾神道我等是六丁六甲五方揭諦四
值功曹一十八位护教伽蓝各各轮流值日听候行者道今日,值功曹一十八位護教伽藍各各輪流值日聽候行者道今日
先从谁起众揭谛道丁甲功曹伽蓝轮次我五方揭谛惟,先從誰起眾揭諦道丁甲功曹伽藍輪次我五方揭諦惟
金头揭谛昼夜不离左右行者道既如此不当值者且退留下,金頭揭諦晝夜不離左右行者道既如此不當值者且退留下
六丁神将与日值功曹和众揭谛保守[MASK]我师父等老孙寻那涧中,六丁神將與日值功曹和眾揭諦保守著我師父等老孫尋那澗中
的孽龙教他还我马来众神遵令三藏才放下心坐在石崖,的孽龍教他還我馬來眾神遵令三藏才放下心坐在石崖
之上吩咐行者仔细行者道只管宽心好猴王束一束,之上吩咐行者仔細行者道只管寬心好猴王束一束
绵布直裰撩起虎皮裙子揝[MASK]金箍铁棒抖擞精神径临涧壑,綿布直裰撩起虎皮裙子揝著金箍鐵棒抖擻精神徑臨澗壑
半云半雾的在那水面上高叫道泼泥鳅还我马来还我马,半雲半霧的在那水面上高叫道潑泥鰍還我馬來還我馬
来 ,來
却说那龙吃了三藏的白马伏在那涧底中间潜灵养性只,卻說那龍吃了三藏的白馬伏在那澗底中間潛靈養性只
听得有人叫骂索马他按不住心中火发急纵身跃浪翻波跳将,聽得有人叫罵索馬他按不住心中火發急縱身躍浪翻波跳將
上来道是那个敢在这里海口伤吾行者见了他大[MASK]一声,上來道是那個敢在這裏海口傷吾行者見了他大一聲
休走还我马来[MASK][MASK]棍劈头就打那条龙张牙舞爪来抓,休走還我馬來掄著棍劈頭就打那條龍張牙舞爪來抓
他两个在涧边前这一场赌斗果是骁雄但见那,他兩個在澗邊前這一場賭鬥果是驍雄但見那
龙舒利爪猴举金箍那个须垂白玉线这个眼幌赤金,龍舒利爪猴舉金箍那個鬚垂白玉線這個眼幌赤金
灯那个须下明珠喷彩雾这个手中铁棒舞狂风那个是,燈那個鬚下明珠噴彩霧這個手中鐵棒舞狂風那個是
迷爷娘的业子这个是欺天将的妖精他两个都因有难遭,迷爺娘的業子這個是欺天將的妖精他兩個都因有難遭
磨折今要成功各显能,磨折今要成功各顯能
来来往往战[MASK]多时盘旋良久那条龙力软筋麻不能抵敌打,來來往往戰勾多時盤旋良久那條龍力軟筋麻不能抵敵打
一个转身又撺于水内深潜涧底再不出头被猴王骂詈不绝,一個轉身又攛於水內深潛澗底再不出頭被猴王罵詈不絕
他也只推耳聋,他也只推耳聾
行者没及奈何只得回见三藏道师父这个怪被老孙骂将,行者沒及奈何只得回見三藏道師父這個怪被老孫罵將
出来他与我赌斗多时怯战而走只躲在水中间再不出来了,出來他與我賭鬥多時怯戰而走只躲在水中間再不出來了
三藏道不知端的可是他吃了我马行者道你看你说的,三藏道不知端的可是他吃了我馬行者道你看你說的
话不是他吃了他还肯出来招声与老孙犯对三藏道你,話不是他吃了他還肯出來招聲與老孫犯對三藏道你
前日打虎时曾说有降龙伏虎的手段今日如何便不能降他原,前日打虎時曾說有降龍伏虎的手段今日如何便不能降他原
来那猴子吃不得人急他见三藏抢白了他这一句他就发起,來那猴子吃不得人急他見三藏搶白了他這一句他就發起
神威道不要说不要说等我与他再见个上下,神威道不要說不要說等我與他再見個上下
这猴王拽开步跳到涧边使出那翻江搅海的神通把一条,這猴王拽開步跳到澗邊使出那翻江攪海的神通把一條
鹰愁陡涧彻底澄清的水搅得似那九曲黄河泛涨的波那孽龙,鷹愁陡澗徹底澄清的水攪得似那九曲黃河泛漲的波那孽龍
在于深涧中坐卧不宁心中思想道这才是福无双降祸不单,在於深澗中坐臥不寧心中思想道這才是福無雙降禍不單
行我才脱了天条死难不上一年在此随缘度日又撞[MASK]这般,行我才脫了天條死難不上一年在此隨緣度日又撞著這般
个泼魔他来害我你看他越思越恼受不得屈气咬[MASK]牙跳将,個潑魔他來害我你看他越思越惱受不得屈氣咬著牙跳將
出去骂道你是那里来的泼魔这等欺我行者道你莫管我,出去罵道你是那裏來的潑魔這等欺我行者道你莫管我
那里不那里你只还了马我就饶你性命那龙道你的马是我,那裏不那裏你只還了馬我就饒你性命那龍道你的馬是我
吞下肚去如何吐得出来不还你便待怎的行者道不还马,吞下肚去如何吐得出來不還你便待怎的行者道不還馬
时看棍只打杀你偿了我马的性命便罢他两个又在那山崖,時看棍只打殺你償了我馬的性命便罷他兩個又在那山崖
下苦斗斗不数合小龙委实难搪将身一幌变作一条水蛇,下苦鬥鬥不數合小龍委實難搪將身一幌變作一條水蛇
儿钻入草科中去了,兒鑽入草科中去了
猴王拿[MASK]棍赶上前来拨草寻蛇那里得些影响急得他,猴王拿著棍趕上前來撥草尋蛇那裏得些影響急得他
三尸神[MASK]咋七窍烟生念了一声唵字咒语即唤出当坊,三尸神咋七竅煙生念了一聲唵字咒語即喚出當坊
[MASK]地本处山神一齐来跪下道山神土地来见行者道伸,土地本處山神一齊來跪下道山神土地來見行者道伸
过孤拐来各打五棍见面与老孙散散心二神叩头哀告道,過孤拐來各打五棍見面與老孫散散心二神叩頭哀告道
望大圣方便容小神诉告行者道你说甚么二神道大圣,望大聖方便容小神訴告行者道你說甚麼二神道大聖
一向久困小神不知几时出来所以不曾接得万望恕罪行者,一向久困小神不知幾時出來所以不曾接得萬望恕罪行者
道既如此我且不打你我问你鹰愁涧里是那方来的怪龙,道既如此我且不打你我問你鷹愁澗裏是那方來的怪龍
他怎么抢了我师父的白马吃了[MASK]二神道大圣自来不曾有师,他怎麼搶了我師父的白馬吃了二神道大聖自來不曾有師
父原来是个不伏天不伏地混元上真如何得有甚么师父的马,父原來是個不伏天不伏地混元上真如何得有甚麼師父的馬
来行者道你等是也不知我只为那诳上的勾当整受了这,來行者道你等是也不知我只為那誑上的勾當整受了這
五百年的苦难今蒙观音菩萨劝善[MASK]唐朝驾下真僧救出我来,五百年的苦難今蒙觀音菩薩勸善著唐朝駕下真僧救出我來
教我跟他做徒弟往西天去拜佛求经因路过此处失了我师父,教我跟他做徒弟往西天去拜佛求經因路過此處失了我師父
的白马二神道原来是如此这涧中自来无邪只是深陡宽,的白馬二神道原來是如此這澗中自來無邪只是深陡寬
阔水光彻底澄清鸦鹊不敢飞过因水清照见自己的形影便认,闊水光徹底澄清鴉鵲不敢飛過因水清照見自己的形影便認
做同群之鸟往往身掷于水内故名鹰愁陡涧只是向年间,做同群之鳥往往身擲於水內故名鷹愁陡澗只是向年間
观音菩萨因为寻访取经人去救了一条玉龙送他在此教他等,觀音菩薩因為尋訪取經人去救了一條玉龍送他在此教他等
候那取经人不许为非作歹他只是饥了时上岸来扑些鸟鹊吃,候那取經人不許為非作歹他只是饑了時上岸來撲些鳥鵲吃
或是捉些獐鹿食用不知他怎么无知今日冲撞了大圣行者,或是捉些獐鹿食用不知他怎麼無知今日沖撞了大聖行者
道先一次他还与老孙侮手盘旋了几合后一次是老孙叫,道先一次他還與老孫侮手盤旋了幾合後一次是老孫叫
骂他再不出因此使了一个翻江搅海的法儿搅混了他涧水,罵他再不出因此使了一個翻江攪海的法兒攪混了他澗水
他就撺将上来还要争持不知老孙的棍重他遮架不住就变,他就攛將上來還要爭持不知老孫的棍重他遮架不住就變
做一条水蛇钻在草里我赶来寻他却无踪迹土地道大圣,做一條水蛇鑽在草裏我趕來尋他卻無蹤跡土地道大聖
不知这条涧千万个孔窍相通故此这波澜深远想是此间也,不知這條澗千萬個孔竅相通故此這波瀾深遠想是此間也
有一孔他钻将下去也不须大圣发怒在此找寻要擒此物只,有一孔他鑽將下去也不須大聖發怒在此找尋要擒此物只
消请将观世音来自然伏了,消請將觀世音來自然伏了
行者见说唤山神土地同来见了三藏具言前事三藏,行者見說喚山神土地同來見了三藏具言前事三藏
道若要去请菩萨几时才得回来我贫僧饥寒怎忍说不了,道若要去請菩薩幾時才得回來我貧僧饑寒怎忍說不了
只听得暗空中有金头揭谛叫道大圣你不须动身小神去请菩,只聽得暗空中有金頭揭諦叫道大聖你不須動身小神去請菩
萨来也行者大喜道声有累有累快行快行那揭谛急纵,薩來也行者大喜道聲有累有累快行快行那揭諦急縱
云头径上南海行者吩咐山神土地守护师父日值功曹去寻,雲頭徑上南海行者吩咐山神土地守護師父日值功曹去尋
斋供他又去涧边巡[MASK]不题,齋供他又去澗邊巡遶不題
却说金头揭谛一驾云早到了南海按祥光直至落伽山,卻說金頭揭諦一駕雲早到了南海按祥光直至落伽山
紫竹林中托那金甲诸天与木叉惠岸转达得见菩萨菩萨道,紫竹林中託那金甲諸天與木叉惠岸轉達得見菩薩菩薩道
汝来何干[MASK]揭谛道唐僧在蛇盘山鹰愁陡涧失了马急得孙大,汝來何幹揭諦道唐僧在蛇盤山鷹愁陡澗失了馬急得孫大
圣进退两难及问本处土神说是菩萨送在[MASK]里的孽龙吞了那,聖進退兩難及問本處土神說是菩薩送在澗裏的孽龍吞了那
大圣[MASK]小神来告请菩萨降这孽龙还他马匹菩萨闻言道这,大聖著小神來告請菩薩降這孽龍還他馬匹菩薩聞言道這
厮本是西海敖闰之子他为纵火烧了殿上明珠他父告他忤逆,廝本是西海敖閏之子他為縱火燒了殿上明珠他父告他忤逆
天庭上犯了死罪是我亲见玉帝讨他下来教他与唐僧做个脚,天庭上犯了死罪是我親見玉帝討他下來教他與唐僧做個腳
力他怎么反吃了唐僧的马这等说等我去来那菩萨降莲,力他怎麼反吃了唐僧的馬這等說等我去來那菩薩降蓮
台径离仙洞与揭谛驾[MASK]祥光过了南海而来有诗为证诗,臺徑離仙洞與揭諦駕著祥光過了南海而來有詩為證詩
曰 ,曰
佛说蜜多三藏经菩萨扬善满长城,佛說蜜多三藏經菩薩揚善滿長城
摩诃妙语通天地般若真言救鬼灵,摩訶妙語通天地般若真言救鬼靈
致使金蝉重脱壳故令玄奘再修行,致使金蟬重脫殼故令玄奘再修行
只因路阻鹰愁涧龙子归真化马形,只因路阻鷹愁澗龍子歸真化馬形
那菩萨与揭谛不多时到了蛇盘山却在那半空里留住祥,那菩薩與揭諦不多時到了蛇盤山卻在那半空裏留住祥
云低头观看只见孙行者正在涧边叫骂菩萨[MASK]揭谛唤他来,雲低頭觀看只見孫行者正在澗邊叫罵菩薩著揭諦喚他來
那揭谛按落云头不经由三藏直至涧边对行者道菩萨来,那揭諦按落雲頭不經由三藏直至澗邊對行者道菩薩來
也行者闻得急纵云跳到空中对他大叫道你这个七佛之,也行者聞得急縱雲跳到空中對他大叫道你這個七佛之
师慈悲的教主你怎么生方法儿害我菩萨道我把你这个,師慈悲的教主你怎麼生方法兒害我菩薩道我把你這個
大胆的马流村愚的赤尻我倒再三尽意度得个取经人来叮,大膽的馬流村愚的赤尻我倒再三盡意度得個取經人來叮
咛教他救你性命你怎么不来谢我活命之恩反来与我嚷闹行,嚀教他救你性命你怎麼不來謝我活命之恩反來與我嚷鬧行
者道你弄得我好哩你既放我出来让我逍遥自在耍子便了,者道你弄得我好哩你既放我出來讓我逍遙自在耍子便了
你前日在海上迎[MASK]我伤了我几句教我来尽心竭力伏侍唐僧,你前日在海上迎著我傷了我幾句教我來盡心竭力伏侍唐僧
便罢了你怎么送他一顶花帽哄我戴在头上受苦把这个箍子,便罷了你怎麼送他一頂花帽哄我戴在頭上受苦把這個箍子
长在老孙头上又教他念一卷甚么紧箍儿咒[MASK]那老和尚念了,長在老孫頭上又教他念一卷甚麼緊箍兒咒著那老和尚念了
又念教我这头上疼了又疼这不是你害我也[MASK]菩萨笑道你这,又念教我這頭上疼了又疼這不是你害我也菩薩笑道你這
猴子你不遵教令不受正果若不如此拘系你你又诳上欺天,猴子你不遵教令不受正果若不如此拘係你你又誑上欺天
知甚好歹再似从前撞出祸来有谁收管[MASK]须是得这个魔,知甚好歹再似從前撞出禍來有誰收管須是得這個魔
头你才肯入我瑜伽之门路哩行者道这桩事作做是我,頭你才肯入我瑜伽之門路哩行者道這樁事作做是我
的魔头罢你怎么又把那有罪的孽龙送在此处成精教他吃了,的魔頭罷你怎麼又把那有罪的孽龍送在此處成精教他吃了
我师父的马匹此又是纵放歹人为恶太不善也菩萨道那,我師父的馬匹此又是縱放歹人為惡太不善也菩薩道那
条龙是我亲奏玉帝讨他在此专为求经人做个脚力你想那,條龍是我親奏玉帝討他在此專為求經人做個腳力你想那
东土来的凡马怎历得这万水千山怎到得那灵山佛地须是,東土來的凡馬怎歷得這萬水千山怎到得那靈山佛地須是
得这个龙马方才去得行者道像他这般惧怕老孙潜躲不,得這個龍馬方才去得行者道像他這般懼怕老孫潛躲不
出如之奈何[MASK]菩萨叫揭谛道你去涧边叫一声敖闰龙王玉龙,出如之奈何菩薩叫揭諦道你去澗邊叫一聲敖閏龍王玉龍
三太子你出来有南海菩萨在此他就出来了那揭谛果去涧,三太子你出來有南海菩薩在此他就出來了那揭諦果去澗
边叫了两遍那小龙翻波跳浪跳出水来变作一个人像踏了,邊叫了兩遍那小龍翻波跳浪跳出水來變作一個人像踏了
